Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 05:17
Karlayos the Legendary Alchemist entered the Town of Devil Guard#November 8, 2025 at 04:58
Karlayos the Legendary Alchemist entered the City of Britain#November 8, 2025 at 04:57
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:59
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:58
Konrad Curze the Legendary Duelist entered the Land of Sosaria#November 8, 2025 at 03:58
Sara the Titan of Ether entered the Stone Wall Bank#November 8, 2025 at 03:46
Sara the Titan of Ether entered the Fort of Stonewall#November 8, 2025 at 03:46
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 03:46
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:45
Lara the Grandmistress Spiritualist entered the Land of Sosaria#November 8, 2025 at 03:45
Konrad Curze the Legendary Duelist entered the Tower of Brass#November 8, 2025 at 03:35
Sara the Titan of Ether entered the Land of Sosaria#November 8, 2025 at 03:34
Konrad Curze the Legendary Duelist entered the Island of Umber Veil#November 8, 2025 at 03:34
Lisa the Grandmistress Merchant entered the Land of Sosaria#November 8, 2025 at 03:34
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:34
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 03:34
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:33
Lisa the Grandmistress Merchant entered the Land of Sosaria#November 8, 2025 at 03:33
Lisa the Grandmistress Merchant entered the City of Britain#November 8, 2025 at 03:33
Lisa the Grandmistress Merchant entered the Bank of Britain#November 8, 2025 at 03:33
