##############################
Log started on 10/18/2025 3:25:31 AM

10/18/2025 6:09:41 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'set5 '
10/18/2025 6:09:44 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'set4 '
10/18/2025 6:09:58 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:10:05 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:10:18 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'poisons '
10/18/2025 6:10:49 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:10:51 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:11:50 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:12:33 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 6:12:56 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:13:43 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set5 '
10/18/2025 6:13:46 AM: 189.4.105.249: Player 0x12214 "Estel" ('Tetel') used command 'set4 '
10/18/2025 6:15:20 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set1 '
10/18/2025 6:15:21 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set1 '
10/18/2025 6:15:22 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set2 '
10/18/2025 6:17:07 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'c '
10/18/2025 6:17:51 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'dkwrath '
10/18/2025 6:18:55 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 6:20:23 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'c '
10/18/2025 6:22:22 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'oriental '
10/18/2025 6:22:24 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'oriental '
10/18/2025 6:23:36 AM: 179.125.228.104: Player 0x1487F "Dan Ousi" ('fella3') used command 'cheetahpaws '
10/18/2025 6:29:21 AM: 187.110.208.198: Player 0x5E875 "Talantyr" ('bidogozor') used command 'c '
10/18/2025 6:36:01 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:02 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:36:02 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:04 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:45 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:36:52 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:53 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:54 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:56 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:57 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:36:58 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:34 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:38:36 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:38:48 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:50 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:53 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:54 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:57 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:38:59 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:39:00 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:39:38 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:39:40 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:39:41 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:39:43 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set1 '
10/18/2025 6:41:54 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:41:56 AM: 187.110.208.198: Player 0x18B74 "QuemTemCuTemMedo" ('bidogs') used command 'set3 '
10/18/2025 6:57:35 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set5 '
10/18/2025 6:57:36 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set5 '
10/18/2025 6:57:36 AM: 187.110.208.198: Player 0xD2FE0 "DeathspeakerDarq" ('bidogoz') used command 'set4 '
